productive,mean_productive,id_dist,id_reg,year,trend,prod_disperssion_norm,trend_prediction
13.61,13.61,60001.0,60.0,2011.0,0.0,,0.0
10.53,13.61,60001.0,60.0,2012.0,0.0,0.0,-3.079999999999999
29.4,12.07,60001.0,60.0,2013.0,-3.079999999999999,0.19648715824357912,7.894999999999999
35.5,17.846666666666668,60001.0,60.0,2014.0,7.894999999999999,3.8282119287759926,8.453999999999999
28.8,22.26,60001.0,60.0,2015.0,8.453999999999999,4.926915992812219,5.535
37.2,23.567999999999998,60001.0,60.0,2016.0,5.535000000000001,4.013152410047523,5.110285714285717
50.4,28.286,60001.0,60.0,2017.0,5.110285714285716,4.049080237358101,5.825357142857142
34.4,36.26,60001.0,60.0,2018.0,6.172857142857145,4.461273436549723,4.118214285714286
33.5,37.260000000000005,60001.0,60.0,2019.0,2.2314285714285718,1.4232498840982841,1.1321428571428571
50.6,36.86,60001.0,60.0,2020.0,0.5714285714285711,1.2160752198968758,1.8535714285714282
29.5,41.220000000000006,60001.0,60.0,2021.0,2.34,1.8010855683269476,0.42857142857142844
48.0,39.68,60001.0,60.0,2022.0,-1.1085714285714288,1.7359649122807015,0.24285714285714227
40.7,39.2,60001.0,60.0,2023.0,-0.27428571428571397,1.8731872294372294,-0.2107142857142849
34.7,40.46,60001.0,60.0,2024.0,1.5400000000000011,1.5162441909590203,0.4535714285714292
8.13,8.13,60002.0,60.0,2011.0,0.0,,0.0
7.96,8.13,60002.0,60.0,2012.0,0.0,0.0,-0.1700000000000008
33.6,8.045,60002.0,60.0,2013.0,-0.1700000000000008,0.0008980733374767023,12.735
33.8,16.563333333333336,60002.0,60.0,2014.0,12.735,8.762054068558394,10.264999999999997
22.0,20.8725,60002.0,60.0,2015.0,10.264999999999997,7.883740268295604,5.358
41.0,21.098,60002.0,60.0,2016.0,5.358,6.249222485543653,5.9048571428571455
47.1,27.672000000000004,60002.0,60.0,2017.0,5.904857142857143,6.753397160215713,6.121071428571426
34.2,35.49999999999999,60002.0,60.0,2018.0,5.888571428571429,5.3143696754017045,4.032857142857142
23.0,35.620000000000005,60002.0,60.0,2019.0,1.7685714285714291,1.676751692646827,-0.21071428571428563
49.4,33.46,60002.0,60.0,2020.0,-0.32285714285714207,2.408196585446709,1.4999999999999998
24.4,38.940000000000005,60002.0,60.0,2021.0,2.002857142857143,3.2114828487924933,-0.0035714285714286515
52.1,35.62,60002.0,60.0,2022.0,-2.4942857142857147,2.888947208276282,0.11071428571428485
45.9,36.620000000000005,60002.0,60.0,2023.0,0.6285714285714279,3.6280335939762525,1.1999999999999995
34.23,38.96,60002.0,60.0,2024.0,3.451428571428571,3.5607569141193594,1.735357142857142
15.14,15.14,60003.0,60.0,2011.0,0.0,,0.0
21.18,15.14,60003.0,60.0,2012.0,0.0,0.0,6.039999999999998
38.0,18.16,60003.0,60.0,2013.0,6.039999999999998,0.5022246696035241,11.429999999999996
36.1,24.77333333333333,60003.0,60.0,2014.0,11.429999999999994,3.776343738787227,7.969999999999999
25.7,27.605,60003.0,60.0,2015.0,7.969999999999999,3.413130773410614,3.6040000000000005
34.0,27.224,60003.0,60.0,2016.0,3.6040000000000005,2.790046429620923,3.0274285714285725
50.6,30.996000000000002,60003.0,60.0,2017.0,3.0274285714285707,2.4573414844423542,4.275714285714285
34.6,36.88,60003.0,60.0,2018.0,3.5628571428571423,2.5722168174595454,2.262857142857143
24.5,36.2,60003.0,60.0,2019.0,0.9942857142857147,1.496438356164384,-0.6642857142857141
48.3,33.879999999999995,60003.0,60.0,2020.0,-0.41999999999999993,2.136715328467154,1.2428571428571422
32.2,38.4,60003.0,60.0,2021.0,1.9571428571428569,2.794066758536212,0.7857142857142859
49.3,38.04,60003.0,60.0,2022.0,-0.7428571428571429,2.2564377044305677,0.8142857142857134
43.3,37.78,60003.0,60.0,2023.0,0.2885714285714275,2.4966527487821844,0.5428571428571423
36.24,39.519999999999996,60003.0,60.0,2024.0,2.908571428571428,2.094659776055124,1.554285714285714
21.53,21.53,60004.0,60.0,2011.0,0.0,,0.0
10.79,21.53,60004.0,60.0,2012.0,0.0,0.0,-10.74
20.1,16.16,60004.0,60.0,2013.0,-10.74,1.784461633663367,-0.7150000000000001
24.3,17.473333333333333,60004.0,60.0,2014.0,-0.7149999999999994,1.2976510237822718,1.7619999999999998
18.3,19.18,60004.0,60.0,2015.0,1.7619999999999998,1.3422236704900943,0.7050000000000001
33.8,19.004,60004.0,60.0,2016.0,0.7050000000000001,1.0902433171963797,2.5165714285714293
42.7,21.458,60004.0,60.0,2017.0,2.516571428571428,2.220381928272007,3.8475
28.8,27.839999999999996,60004.0,60.0,2018.0,5.561428571428572,4.413921483654467,3.8832142857142866
21.7,29.580000000000002,60004.0,60.0,2019.0,3.262857142857143,2.5033333333333334,1.3642857142857137
38.8,29.060000000000002,60004.0,60.0,2020.0,0.782857142857143,2.343238993710692,1.617857142857142
26.5,33.160000000000004,60004.0,60.0,2021.0,1.4942857142857136,2.4855422777476,0.48571428571428554
40.1,31.7,60004.0,60.0,2022.0,-1.58,1.6148465938637548,-0.12499999999999996
40.7,31.18,60004.0,60.0,2023.0,-0.08000000000000017,1.8411883182275932,0.7642857142857147
36.6,33.56,60004.0,60.0,2024.0,2.9257142857142866,1.6815530688368936,2.2392857142857148
11.74,11.74,60005.0,60.0,2011.0,0.0,,0.0
9.07,11.74,60005.0,60.0,2012.0,0.0,0.0,-2.669999999999999
18.8,10.405000000000001,60005.0,60.0,2013.0,-2.669999999999999,0.17128543969245552,3.5299999999999994
