productive,mean_productive,id_dist,id_reg,year,trend,prod_disperssion_norm,trend_prediction
17.44,-1.0,1767.0,69.0,2012.0,-1.0,-1.0,-1.0
37.0,-1.0,1767.0,69.0,2013.0,-1.0,-1.0,-1.0
36.7,37.0,1767.0,69.0,2014.0,19.55999999999999,3.5139015429831,9.629999999999999
27.4,36.85,1767.0,69.0,2015.0,9.629999999999999,2.7563133640552997,2.957999999999999
38.6,33.699999999999996,1767.0,69.0,2016.0,2.957999999999999,2.1753897418592882,3.272000000000001
47.9,34.925,1767.0,69.0,2017.0,3.272000000000001,2.050195239913453,4.222857142857142
35.7,37.519999999999996,1767.0,69.0,2018.0,4.222857142857142,2.6739823123943296,2.802857142857142
27.3,37.260000000000005,1767.0,69.0,2019.0,1.0942857142857145,0.962957157784744,-0.37857142857142845
55.4,35.38000000000001,1767.0,69.0,2020.0,-0.3657142857142857,1.393445692883895,1.8928571428571421
37.7,40.980000000000004,1767.0,69.0,2021.0,2.682857142857143,2.7128210647151665,1.5678571428571435
46.98,40.8,1767.0,69.0,2022.0,0.27428571428571447,2.001126683154712,0.8728571428571424
47.38,40.616,1767.0,69.0,2023.0,0.8428571428571423,2.0450513985178094,1.1214285714285712
23.6,-1.0,1779.0,69.0,2012.0,-1.0,-1.0,-1.0
34.0,-1.0,1779.0,69.0,2013.0,-1.0,-1.0,-1.0
34.4,34.0,1779.0,69.0,2014.0,10.399999999999997,0.9388888888888886,5.399999999999998
18.7,34.2,1779.0,69.0,2015.0,5.399999999999998,0.8150724637681155,-1.430000000000001
34.3,29.033333333333335,1779.0,69.0,2016.0,-1.430000000000001,1.647583559168925,0.609999999999999
44.2,30.35,1779.0,69.0,2017.0,0.609999999999999,1.4999999999999996,2.5200000000000005
31.6,33.120000000000005,1779.0,69.0,2018.0,2.5200000000000005,2.1671952078928824,1.5821428571428569
26.5,32.64,1779.0,69.0,2019.0,0.9428571428571433,1.7060513860716702,-0.09285714285714251
44.8,31.060000000000002,1779.0,69.0,2020.0,0.2600000000000005,1.9309875241609564,1.5750000000000002
30.9,36.279999999999994,1779.0,69.0,2021.0,2.6999999999999993,2.5703898050974514,1.425
45.16,35.60000000000001,1779.0,69.0,2022.0,-0.5800000000000003,1.3231669021824464,0.6849999999999993
50.32,35.792,1779.0,69.0,2023.0,0.5999999999999985,1.5937503734241498,1.7814285714285703
25.83,-1.0,1763.0,69.0,2012.0,-1.0,-1.0,-1.0
35.9,-1.0,1763.0,69.0,2013.0,-1.0,-1.0,-1.0
37.3,35.9,1763.0,69.0,2014.0,10.069999999999997,0.8213583346832983,5.734999999999998
30.3,36.599999999999994,1763.0,69.0,2015.0,5.734999999999998,0.7907563364636977,1.4810000000000003
38.8,34.49999999999999,1763.0,69.0,2016.0,1.4810000000000003,0.6480837779324208,2.034
46.5,35.574999999999996,1763.0,69.0,2017.0,2.034,0.6975526081008743,3.0014285714285727
35.7,37.76,1763.0,69.0,2018.0,3.0014285714285727,1.189936557486527,1.868214285714286
35.2,37.71999999999999,1763.0,69.0,2019.0,1.0028571428571436,0.6250705270972531,0.3892857142857151
55.3,37.3,1763.0,69.0,2020.0,0.38285714285714384,0.6383378016085789,2.1678571428571427
26.5,42.3,1763.0,69.0,2021.0,2.954285714285714,1.7074441687344908,0.3678571428571427
52.09,39.839999999999996,1763.0,69.0,2022.0,-1.017142857142857,2.1045938375350137,0.6953571428571431
43.93,40.958,1763.0,69.0,2023.0,0.5842857142857143,2.48734165041718,0.584642857142857
22.0,-1.0,1768.0,69.0,2012.0,-1.0,-1.0,-1.0
40.4,-1.0,1768.0,69.0,2013.0,-1.0,-1.0,-1.0
37.7,40.4,1768.0,69.0,2014.0,18.39999999999999,2.7128205128205125,7.849999999999996
28.5,39.05,1768.0,69.0,2015.0,7.849999999999996,1.9724941724941722,1.6800000000000008
34.5,35.53333333333333,1768.0,69.0,2016.0,1.6800000000000008,1.67348367029549,1.310000000000001
44.4,35.275,1768.0,69.0,2017.0,1.310000000000001,1.3465849172286943,2.4314285714285715
33.0,37.1,1768.0,69.0,2018.0,2.4314285714285715,1.6157510040160636,1.3499999999999994
30.4,35.62,1768.0,69.0,2019.0,-0.31142857142857167,0.7289168573607931,-0.8392857142857143
47.6,34.160000000000004,1768.0,69.0,2020.0,-0.3742857142857147,0.7814628297362111,1.1428571428571426
31.7,37.980000000000004,1768.0,69.0,2021.0,2.0514285714285716,1.3874542124542126,0.7785714285714286
46.17,37.42,1768.0,69.0,2022.0,-0.19999999999999984,1.1777677496991579,0.8646428571428574
55.67,37.774,1768.0,69.0,2023.0,0.6328571428571432,1.3618985867592637,2.194642857142857
23.18,-1.0,1755.0,69.0,2012.0,-1.0,-1.0,-1.0
37.3,-1.0,1755.0,69.0,2013.0,-1.0,-1.0,-1.0
38.6,37.3,1755.0,69.0,2014.0,14.119999999999992,1.6482671957671953,7.709999999999997
36.2,37.95,1755.0,69.0,2015.0,7.709999999999997,1.4763854124613105,4.036000000000001
40.9,37.36666666666667,1755.0,69.0,2016.0,4.036000000000001,1.137143701951508,3.4340000000000015
47.5,38.25,1755.0,69.0,2017.0,3.4340000000000015,1.100771483709842,3.7142857142857153
38.8,40.1,1755.0,69.0,2018.0,3.7142857142857153,1.427360515021459,2.4842857142857135
36.7,40.4,1755.0,69.0,2019.0,1.1114285714285712,0.3431188187769884,0.3535714285714288
49.8,40.019999999999996,1755.0,69.0,2020.0,0.13999999999999982,0.3582251082251081,1.160714285714285
25.0,42.739999999999995,1755.0,69.0,2021.0,1.334285714285714,0.6544017607042814,-0.9500000000000002
51.1,39.56,1755.0,69.0,2022.0,-2.134285714285714,1.6344714425359588,-0.12142857142857123
54.44,40.28,1755.0,69.0,2023.0,-0.2942857142857143,2.0073456542118655,1.2042857142857142
15.22,-1.0,1754.0,69.0,2012.0,-1.0,-1.0,-1.0
35.2,-1.0,1754.0,69.0,2013.0,-1.0,-1.0,-1.0
34.2,35.2,1754.0,69.0,2014.0,19.98,3.9587504958349866,9.489999999999995
32.9,34.7,1754.0,69.0,2015.0,9.489999999999995,2.9955124871976686,5.203999999999997
35.0,34.1,1754.0,69.0,2016.0,5.203999999999997,2.297488087134105,3.7260000000000004
48.6,34.325,1754.0,69.0,2017.0,3.7260000000000004,1.935931812221348,4.714285714285714
30.6,37.18,1754.0,69.0,2018.0,4.714285714285714,2.824960222752586,2.633571428571428
26.9,36.26,1754.0,69.0,2019.0,0.6371428571428571,0.9347267128560433,-0.5857142857142861
49.4,34.8,1754.0,69.0,2020.0,-0.8514285714285718,1.3181556195965423,1.0428571428571425
